"","3088","8806","19893","24559","45388","49842","82151","102816","105014","119875","123127","125973","134727","138783","141540","241240","256439","266046","279836","287459","374551","608210","618487","628503","673596","683864","698037","715055","718781","727989","728073","733504","743414","750691","756645","757441","758186","758253","758487","759614","759857","760087"
"OVCAR-5",4.463,4.718,4.962,7.906,4.062,6.577,6.856,5.458,5.724,4.799,6.384,7.816,4.542,4,4.062,4,7.583,6.173,7.078,4,4.973,8,8,8,6.608,4.228,4,4.953,5.088,4,5.873,8,6.239,6.074,5.707,4,5.59,7.311,6.387,5.241,5.523,7.105
"OVCAR-8",4.635,4.705,5.757,7.078,4.347,8,7.575,6.147,7.131,4.553,7,8,4.417,4.04,4.546,4,7.832,5.222,7.594,6.407,5.442,7.672,8,8,7.834,7.845,5.5,4.965,5.097,5.38,7.637,6.939,4.558,5.866,5.384,4.963,6.116,7.542,6.432,5.427,7.373,7.515
"PC-3",NA,NA,5.627,NA,4,8,7.363,5.658,4,4.608,6.492,8,NA,4,4.617,NA,7.359,4.748,6.904,4.334,5.504,8,NA,8,7.067,7.312,4,6.073,4.439,5.276,7.092,8,4.67,5.497,5.629,5.163,5.664,7.541,5.944,5.099,4.609,8
"RPMI-8226",4.745,4.645,7.348,8,4.724,8,8,6.552,4.619,4.774,7.117,8,4.126,4.069,4.569,4,7.883,7.278,7.698,5.426,5.783,8,8,8,6.799,7.607,5.062,5.761,4.581,5.55,6.829,8,5.218,5.755,5.572,5.144,6.174,7.541,6.203,5.928,4.501,7.382
"RXF 393",4.69,4.798,5.583,8,4.066,8,6.967,6.497,4.806,4.691,7.015,8,4.619,4,4.283,4,7.78,5.09,7.381,4.867,5.69,8,8,6.616,7.496,6.897,4,5.322,5.392,5.611,6.504,8,4.822,5.932,5.828,5.481,6.461,7.664,6.651,5.539,5.831,7.904
"SF-268",5.003,5.249,5.79,8,4.179,8,7.654,5.746,4.937,5.4,6.979,7.959,4.935,4.164,4.258,4,7.899,5.385,7.867,5.997,5.454,8,8,8,8,5.525,6.412,5.144,4.819,5.286,8,6.57,4.58,5.694,5.498,4.942,5.67,7.337,6.373,5.391,6.641,6.838
"SF-295",4.781,4.796,6.644,7.064,4.271,8,7.722,5.659,4.395,5.188,6.993,7.829,5.179,4.191,4.32,4,8,5.327,8,6.18,5.545,8,8,7.969,8,8,6.379,5.694,4.764,5.514,7.886,8,4.704,5.307,6.31,5.303,5.642,7.625,6.485,5.755,5.542,7.637
"SF-539",5.155,5.041,7.197,8,4.165,8,7.911,5.713,4.843,5.29,6.939,8,5.106,4.187,4.282,4,7.937,4.998,8,4.775,5.977,8,8,8,8,8,8,4.962,4.741,5.041,8,8,4.976,5.824,5.771,5.819,5.687,7.71,6.619,5.574,5.439,7.854
"SK-MEL-2",4.377,4.64,4.246,8,4.993,8,7.311,6.33,4,4.643,6.775,8,4.51,4,4.277,4,8,5.288,6.679,4,5.135,6.139,8,7.148,7.375,6.955,4,4.881,5.159,5.609,6.775,6.53,4.602,5.86,5.687,5.231,6.213,7.342,6.663,4,4,4.626
"SK-MEL-28",4.412,4.564,5.986,8,4.075,NA,6.654,5.531,4.243,4.658,6.679,6.058,4,4,4.104,4,7.31,5.581,6.492,5.351,5.374,8,8,6.379,6.579,6.726,4,6.525,4.345,5.36,5.843,4.946,4.835,5.641,5.831,4.559,5.572,7.654,6.435,4.102,4,7.656
"SK-MEL-5",4.462,4.734,6.328,7.154,4.146,8,7.437,5.546,5.363,4.957,7.111,8,4.848,4.145,4.446,4,7.923,5.944,7.143,5.539,5.382,8,7.954,8,7.852,5.729,4,5.436,4.738,5.494,7.49,5.756,4.916,5.882,5.824,5.141,5.667,7.828,6.103,5.268,6.469,8
"SK-OV-3",4.588,4.858,4.661,7.48,4.653,8,7.48,5.602,4.699,4.632,6.652,7.951,4.612,4.064,4,4,7.891,4.179,7.61,5.569,5.175,8,8,7.879,7.951,5.706,4,6.216,6.279,7.388,5.808,8,4.539,8,5.615,4.561,5.942,7.547,6.466,6.201,6.119,8
"SN12C",4.809,5.027,6.304,8,4.104,8,7.811,6.262,6.35,4.627,7.144,7.2,5.1,4.346,4.275,4,7.931,5.591,7.875,5.687,5.598,7.67,8,8,8,6.304,4,5.21,5.775,4.712,7.928,5.739,4.479,5.834,5.74,5.297,6.226,7.393,6.582,5.24,7.175,7.73
"SNB-19",4.428,4.458,5.419,8,4.005,8,7.724,5.506,5.806,4.755,7.366,7.943,NA,4.009,4.276,4,7.914,5.007,7.619,5.659,5.187,8,8,4.365,8,6.819,4,4.882,4.899,4.002,7.447,6.594,4.414,5.559,5.48,4.419,5.387,7.67,6.012,4.181,6.665,7.623
"SNB-75",4.926,4.841,4.104,8,4.447,8,7.401,5.716,4.51,5.057,7.174,8,4.76,4.078,4.084,4,7.864,4.734,7.884,4.998,5.153,8,8,8,7.829,8,4,5.246,4.923,5.364,7.027,8,4.693,5.829,5.831,4.952,5.788,7.63,6.97,6.088,5.647,8
"SR",5.878,NA,7.623,NA,4.562,8,8,6.4,5.247,5.113,7.552,7.5,4.453,4.393,5.248,4,8,6.157,8,6.281,5.827,8,NA,8,8,8,4,5.492,4.996,5.59,NA,8,5.146,5.46,7.304,NA,5.456,7.573,6.38,6.366,6.413,8
"SW-620",4.515,4.765,6.032,7.101,4.259,8,7.737,5.824,5.208,4.715,7.04,8,4.776,4.106,4.378,4,7.942,7.329,7.028,6.072,5.261,8,8,8,7.583,5.374,4,5.097,4.134,5.712,7.746,5.071,4.63,5.861,5.971,4.865,5.767,7.533,6.486,5.401,6.052,8
"T-47D",NA,NA,5.09,NA,4,4.719,7.288,5.753,5.24,4.301,7.231,7.056,NA,4.251,NA,NA,7.84,5.655,7.332,5.376,5.568,NA,NA,NA,8,8,4,5.222,5.401,5.336,7.055,8,4.701,6.148,5.814,5.414,6.037,7.527,6.201,6.091,5.159,NA
"TK-10",4.584,NA,5.947,NA,4.347,NA,7.055,5.916,4.299,4.467,6.734,7.026,4.08,4.04,4.162,4,7.743,4.674,6.62,5.074,4.793,6.193,8,6.647,6.217,6.445,4,6.968,6.619,6.754,5.464,8,4.571,8,5.606,4.866,5.626,7.46,6.377,4.237,4.729,NA
"U251",5.018,4.926,6.042,7.192,4.032,8,7.752,5.907,5.184,4.947,7.417,8,5.394,4.139,4.424,4,7.955,5.737,7.967,6.197,5.333,8,8,8,8,6.869,4,4.96,4.612,5.461,7.976,7.968,4.745,6.236,5.753,5.03,5.857,7.651,6.325,4.714,6.354,8
"UACC-257",4.457,4.695,5.449,8,4.32,8,6.939,5.554,5.793,4.597,6.85,6.638,4.157,4.024,4.12,4,7.424,4.97,6.002,4.842,5.013,NA,8,6.342,7.077,5.701,4,5.161,4.011,5.705,5.906,5.231,4.675,5.836,5.836,4.795,5.336,7.634,6.271,4,5.156,NA
"UACC-62",5.212,5.195,6.276,8,4.419,8,7.708,6.223,6.261,4.889,6.931,7.866,5.091,4.28,4.232,4,7.911,5.658,7.764,5.714,5.673,8,8,8,8,8,6.638,5.253,5.466,5.175,7.822,6.467,4.721,5.622,5.84,5.012,6.182,7.522,6.515,5.9,6.442,8
"UO-31",5.049,4.528,5.846,6.844,4.461,7.508,6.38,6.072,6.308,4.794,6.308,6.427,4,4,4.068,4,7.935,5.072,6.99,6.146,5.487,5.993,8,6.053,7.902,8,NA,5.901,6.013,6.093,5.825,8,4.651,6.118,5.501,5.44,5.958,6.743,6.468,5.388,6.807,5.975
